course_title,num_lectures,price,num_subscribers,tradingCourse_revenue
Professional Trading - Consistent Profits with Low Risk!,27,20,627,12540
Trading for winning,27,200,168,33600
Options Basics & Trading With Small Capital! - Level 1,19,30,120,3600
Forex trading Basic to advance Professional Level course,28,20,750,15000
Day Trading in Stocks: Strategies for Beginner Investors,9,50,217,10850
"Technical Analysis Primer for trading Stocks, Bonds & Forex",36,50,397,19850
Stock Trading with this Strategy,6,50,30,1500
The Psychology of Trading,20,20,95,1900
Professional Forex Strategy+2 weeks for FREE trading alerts,15,95,55,5225
Stock Trading Essentials for Day Traders,9,100,94,9400
Beginners Chart Patterns Trading for Penny Stocks,26,200,40,8000
Simple Options Trading System,16,35,104,3640
Forex Harmonic Trading- With Multiple Forex Chart Examples,25,135,313,42255
Master The Psychology of Forex & Binary Options Trading,7,20,53,1060
3 Little Pigs: A Multiple Timeframe Forex Trading Strategy,6,20,18,360
FOREX Currency Trading For Beginners,28,25,35,875
Trading Basics in 30 minutes,6,50,1,50
Trading Algorítmico en Forex: Crea tu primer Robot de Forex!,39,170,206,35020
MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4,25,20,313,6260
Curso de Iniciación al Trading,40,85,31,2635
Estrategias de Inversión aplicadas al mundo del trading,25,20,9,180
Le basi del trading online,27,45,7,315
Forex para Principiantes-Ejemplos en VIVO de Trading Real,52,140,813,113820
Forex Trading for Beginners Vol 1:A Forex Course Made Simple,27,175,3,525
Corso introduttivo al trading profittevole,9,20,132,2640
Inversión: Fundamentos del Trading para Principiantes,18,125,285,35625
Estrategias de trading en bolsa,14,25,15,375
Condor Broken Wing Butterfly Options Trading Course System,15,0,16,0
TRADING FOR A LIVING: Trading Full-Time Transition Guide,40,195,483,94185
Trading: From Wall Street to Your Street,37,50,312,15600
Build your own Naked Trading Forex Robot,19,40,315,12600
The Ultimate Fibonacci Trading Plan for Forex and Stocks,15,200,399,79800
Tape Reading: Learn how to read the tape for day trading,32,195,1013,197535
4 Easy Daily Forex Trades: A Recipe for Trading Success,12,200,319,63800
Trading Robot Forex Programs in Your Sleep in Live Examples!,18,200,1125,225000
An Intro into Trading the Financial Markets,17,100,1006,100600
Developing A Trading Strategy: Your Guide to Trading Success,16,20,1044,20880
How to Build Profitable FOREX Automated Trading Strategies!,21,200,358,71600
Stock Trading Strategies: Profitable Trading in 7 Days.,27,50,80,4000
Day Trading - Learn to Day Trade / Swing Trade In One Hour.,29,95,335,31825
Ultimate Guide To Trading Engulfing Candlestick Strategy,25,200,185,37000
Hedge Fund Trading Systems For Stocks - Part One,21,200,52,10400
Introduction to Day Trading,36,50,79,3950
Forex Trading: Strategia Correlazione EUR/GBP vs GBP/USD,27,50,137,6850
Introducción al trading de opciones,43,100,1573,157300
